"gameid","homeid","visitid","homescore","visitscore","year","seasontype","gamedate"
"283150248","248","290","63","65","2009","2","2008-11-10"
"283162506","248","2506","76","57","2009","2","2008-11-11"
"283190041","41","2717","81","55","2009","2","2008-11-14"
"283190042","42","2514","62","63","2009","2","2008-11-14"
"283190058","58","2567","60","46","2009","2","2008-11-14"
"283190104","104","45","58","63","2009","2","2008-11-14"
"283190164","164","2368","63","61","2009","2","2008-11-14"
"283190218","218","2193","79","65","2009","2","2008-11-14"
"283190222","222","399","78","60","2009","2","2008-11-14"
"283190227","227","225","76","74","2009","2","2008-11-14"
"283192184","2184","2272","84","55","2009","2","2008-11-14"
"283192230","2230","171","62","65","2009","2","2008-11-14"
"283192459","311","2459","77","64","2009","2","2008-11-14"
"283192619","2619","2379","60","44","2009","2","2008-11-14"
"283200232","232","218","65","70","2009","2","2008-11-15"
"283200235","235","2217","90","63","2009","2","2008-11-15"
"283200248","248","98","73","64","2009","2","2008-11-15"
"283200257","257","2516","81","57","2009","2","2008-11-15"
"283200261","261","2244","79","80","2009","2","2008-11-15"
"283200338","338","311","47","60","2009","2","2008-11-15"
"283202325","2325","2415","64","61","2009","2","2008-11-15"
"283202378","2378","471","91","54","2009","2","2008-11-15"
"283210048","48","164","77","85","2009","2","2008-11-16"
"283210150","150","227","82","79","2009","2","2008-11-16"
"283210228","218","228","72","76","2009","2","2008-11-16"
"283212116","2116","2448","81","62","2009","2","2008-11-16"
"283212132","2132","233","77","46","2009","2","2008-11-16"
"283212168","2168","2747","52","49","2009","2","2008-11-16"
"283220041","41","42","99","56","2009","2","2008-11-17"
"283220222","222","2230","107","68","2009","2","2008-11-17"
"283220235","235","113","80","58","2009","2","2008-11-18"
"283220305","305","399","75","64","2009","2","2008-11-17"
"283222066","2066","2365","80","62","2009","2","2008-11-17"
"283222244","2244","225","89","52","2009","2","2008-11-17"
"283222415","2415","2378","67","60","2009","2","2008-11-17"
"283230183","183","257","76","71","2009","2","2008-11-18"
"283230248","248","2016","110","57","2009","2","2008-11-18"
"283230261","261","43","89","58","2009","2","2008-11-18"
"283230322","322","2619","80","71","2009","2","2008-11-18"
"283232132","2132","2640","82","51","2009","2","2008-11-18"
"283232325","2325","52","61","65","2009","2","2008-11-18"
"283232674","2674","2116","69","52","2009","2","2008-11-18"
"283240045","45","2066","71","57","2009","2","2008-11-19"
"283240163","163","311","55","58","2009","2","2008-11-19"
"283240258","258","58","77","75","2009","2","2008-11-19"
"283242168","2168","2169","62","42","2009","2","2008-11-19"
"283242803","2803","399","67","76","2009","2","2008-11-19"
"283250213","213","42","89","64","2009","2","2008-11-20"
"283250235","235","236","83","71","2009","2","2008-11-20"
"283252261","2261","2244","50","44","2009","2","2008-11-20"
"283252405","2405","227","62","85","2009","2","2008-11-20"
"283252598","2598","2184","72","83","2009","2","2008-11-20"
